pBrand,pModel,pTitle,pURL,price,rDate,rRating,rRatingLink,rText,rTitle,rTitleLink,rURL,rUser,rUserLink,siteCode
Frigidaire,"Model # FFTR1821QW
Internet #205486207
Store SO SKU #1001008659",18 cu. ft. Top Freezer Refrigerator in White,http://www.homedepot.com/p/Frigidaire-18-cu-ft-Top-Freezer-Refrigerator-in-White-FFTR1821QW/205486207,$528.00,"August 23, 2016"," 4.1
 out of
 5
",," I bought this as a brand-new unit and had it delivered but not installed. When I went to roll it into place a screw on the underside that was installed at the wrong angle and not completely tightened down scratched up my floors. Upon further inspection my ""brand new"" unit had dents on the top, the top two fridge door bracket screw holes were stripped and had helicoils installed(badly) to try and fix them, then the new screw was cross-threaded into the helicoil. So either Frigidaire or Home Depot sold me a damaged, badly-repaired fridge as new. I've now lost a half-day of work getting their tech to come out and confirm the defects. I'll lose another half-day getting this thing picked up. And I'm having to go through Frigidaire's claim department to get my damaged floor fixed.","Multiple defects, clearly a repaired fridge sold as new, it caused damage to my house",,,Pixel,,HD
Frigidaire,"Model # FFTR1821QW
Internet #205486207
Store SO SKU #1001008659",18 cu. ft. Top Freezer Refrigerator in White,http://www.homedepot.com/p/Frigidaire-18-cu-ft-Top-Freezer-Refrigerator-in-White-FFTR1821QW/205486207,$528.00,"February 12, 2017"," 4.1
 out of
 5
",,"I replaced this fridgfridgwith a ge i boughtin 1995 and the new one
Ismade so cheaP plastic and
Nowhere
To put ice trays",Cheaply made,,,J0,,HD
Frigidaire,"Model # FFTR1821QW
Internet #205486207
Store SO SKU #1001008659",18 cu. ft. Top Freezer Refrigerator in White,http://www.homedepot.com/p/Frigidaire-18-cu-ft-Top-Freezer-Refrigerator-in-White-FFTR1821QW/205486207,$528.00,"February 4, 2017"," 4.1
 out of
 5
",,I bought this fridge to replace the old one. It has a pretty good size for food storage and convenient pull out shelves. My wife loves it and I'm happy.,I bought this fridge to replace the old one. It has a pretty good size for food storage and conve...,,,adogom,,HD
Frigidaire,"Model # FFTR1821QW
Internet #205486207
Store SO SKU #1001008659",18 cu. ft. Top Freezer Refrigerator in White,http://www.homedepot.com/p/Frigidaire-18-cu-ft-Top-Freezer-Refrigerator-in-White-FFTR1821QW/205486207,$528.00,"January 26, 2017"," 4.1
 out of
 5
",,"We are pleased with the product, it is spacious and simple. We have had it for 2 weeks now and it is used at work to hold our lunch items for a staff of about 20 people.","We are pleased with the product, it is spacious and simple. We have had it for 2 weeks now and it...",,,LoriRath,,HD
Frigidaire,"Model # FFTR1821QW
Internet #205486207
Store SO SKU #1001008659",18 cu. ft. Top Freezer Refrigerator in White,http://www.homedepot.com/p/Frigidaire-18-cu-ft-Top-Freezer-Refrigerator-in-White-FFTR1821QW/205486207,$528.00,"December 27, 2016"," 4.1
 out of
 5
",,"This is a second fridge for the basement. Quality is good enough though small. Would prefer larger but doors are too small to move in. The sides of the unit had dents/ripples in material. Even a slight bulge at what I assume is the compressor. When I mentioned it to delivery person, he said all the refrigerators looked that way and he gets that comment a lot. If that's true, then you may not want this unit in highly visible area of your home. For the basement, I'll accept it but not really happy with quality of exterior of unit.",This is a second fridge for the basement. Quality is good enough though small. Would prefer lar...,,,ChiRay,,HD
Frigidaire,"Model # FFTR1821QW
Internet #205486207
Store SO SKU #1001008659",18 cu. ft. Top Freezer Refrigerator in White,http://www.homedepot.com/p/Frigidaire-18-cu-ft-Top-Freezer-Refrigerator-in-White-FFTR1821QW/205486207,$528.00,"January 15, 2017"," 4.1
 out of
 5
",,The best thing about this refrigerator is that it is quiet. I had to get rid of my 6 month old Kenmore 18' refrigerator because the noise was driving me crazy. I went back to Frigidaire and am very happy with my purchase.,The best thing about this refrigerator is that it is quiet. I had to get rid of my 6 month old K...,,,vincent777,,HD
Frigidaire,"Model # FFSS2614QS
Internet #205141853
Store SO SKU #1000048321",25.54 cu. ft. Side by Side Refrigerator in Stainless Steel,http://www.homedepot.com/p/Frigidaire-25-54-cu-ft-Side-by-Side-Refrigerator-in-Stainless-Steel-FFSS2614QS/205141853,$998.00,"February 12, 2017"," 4.0
 out of
 5
",,"Love the look, size and interior space. Wish the ice/H20 dispenser box was a little bigger vertically, and the external tray was removable for ease of cleaning, but not enough to fuss about, it does give more room inside for actual freezer space. The ice maker is amazing, but it tends to toss out cubes from the right side of the bin, I can live with that. It does make some groaning sounds at times, as some of the reviews said. Not a problem, at least I know it's my new fridge, not my old, dead relatives giving me lip because I got rid of a ""perfectly good old fridge."" I'm happy, and when I need other new appliances, I will go Frigidaire all the way.","Love the look, size and interior space. Wish the ice/H20 dispenser box was a little bigger vertic...",,,Roly,,HD
Frigidaire,"Model # FFSS2614QS
Internet #205141853
Store SO SKU #1000048321",25.54 cu. ft. Side by Side Refrigerator in Stainless Steel,http://www.homedepot.com/p/Frigidaire-25-54-cu-ft-Side-by-Side-Refrigerator-in-Stainless-Steel-FFSS2614QS/205141853,$998.00,"January 31, 2017"," 4.0
 out of
 5
",,"This model had everything I was looking for. Stainless, side by side, ice maker, filtered water. It was delivered on expected date without any problems. I've had it 2 weeks know and overall I'm pleased with the product. It's not the top of the line nor the cheapest but, it looks good, works good, and has everything I needed for good price","This model had everything I was looking for. Stainless, side by side, ice maker, filtered water. ...",,,Jw,,HD
Frigidaire,"Model # FFSS2614QS
Internet #205141853
Store SO SKU #1000048321",25.54 cu. ft. Side by Side Refrigerator in Stainless Steel,http://www.homedepot.com/p/Frigidaire-25-54-cu-ft-Side-by-Side-Refrigerator-in-Stainless-Steel-FFSS2614QS/205141853,$998.00,"December 13, 2016"," 4.0
 out of
 5
",,Fridge was for a unit in an apartment building. It fits perfectly into the space. They dropped it off quickly and removed the old fridge. Everythingn works well so far.,Fridge was for a unit in an apartment building. It fits perfectly into the space. They dropped ...,,,2724,,HD
Frigidaire,"Model # FFSS2614QS
Internet #205141853
Store SO SKU #1000048321",25.54 cu. ft. Side by Side Refrigerator in Stainless Steel,http://www.homedepot.com/p/Frigidaire-25-54-cu-ft-Side-by-Side-Refrigerator-in-Stainless-Steel-FFSS2614QS/205141853,$998.00,"December 7, 2016"," 4.0
 out of
 5
",,"It's big. The space I was putting it into was about 1/4 inch too small, so make sure you measure well. The shelves are nice. Still haven't got the water to work, but I assume once it's hooked up correctly it will be fine.","It's big. The space I was putting it into was about 1/4 inch too small, so make sure you measure...",,,LaDawn,,HD
Frigidaire,"Model # FFSS2614QS
Internet #205141853
Store SO SKU #1000048321",25.54 cu. ft. Side by Side Refrigerator in Stainless Steel,http://www.homedepot.com/p/Frigidaire-25-54-cu-ft-Side-by-Side-Refrigerator-in-Stainless-Steel-FFSS2614QS/205141853,$998.00,"February 27, 2017"," 4.0
 out of
 5
",,"terrible fridge. loud clunking noise, hard to pinpoint what it is. Doors uneven plus not flush. new doors ordered but didn't fix problem. it is over insulated and bowing out. not even level on top. after 2 service visit still waiting on approval to have a replacement approved. all this within less than 2 months of delivery.","loud noise, uneven doors, over insulated causing bowing on the case",,,kimber,,HD
Frigidaire,"Model # FFSS2614QS
Internet #205141853
Store SO SKU #1000048321",25.54 cu. ft. Side by Side Refrigerator in Stainless Steel,http://www.homedepot.com/p/Frigidaire-25-54-cu-ft-Side-by-Side-Refrigerator-in-Stainless-Steel-FFSS2614QS/205141853,$998.00,"March 1, 2017"," 4.0
 out of
 5
",,Quick service. Thank you,Quick service. Thank you...,,,Bob,,HD
Frigidaire,"Model # FFSS2614QS
Internet #205141853
Store SO SKU #1000048321",25.54 cu. ft. Side by Side Refrigerator in Stainless Steel,http://www.homedepot.com/p/Frigidaire-25-54-cu-ft-Side-by-Side-Refrigerator-in-Stainless-Steel-FFSS2614QS/205141853,$998.00,"February 28, 2017"," 4.0
 out of
 5
",,This fridge has been a great addition to our break room and the ice maker is great !,This fridge has been a great addition to our break room and the ice maker is great !,,,BJ,,HD
Frigidaire,"Model # FFSS2614QS
Internet #205141853
Store SO SKU #1000048321",25.54 cu. ft. Side by Side Refrigerator in Stainless Steel,http://www.homedepot.com/p/Frigidaire-25-54-cu-ft-Side-by-Side-Refrigerator-in-Stainless-Steel-FFSS2614QS/205141853,$998.00,"February 28, 2017"," 4.0
 out of
 5
",,IT'S GOOD,IT'S GOOD,,,mike,,HD
