pBrand,pModel,pTitle,pURL,price,rDate,rRating,rRatingLink,rText,rTitle,rTitleLink,rURL,rUser,rUserLink,siteCode
VIZIO,"Model # D50-D1
Internet #206827809","D-Series 50 in. Class Full-Array LED 1,080p 120Hz Internet Enabled Smart HDTV with Built-In Wi-Fi",http://www.homedepot.com/p/VIZIO-D-Series-50-in-Class-Full-Array-LED-1-080p-120Hz-Internet-Enabled-Smart-HDTV-with-Built-In-Wi-Fi-D50-D1/206827809,$459.00,"October 24, 2016"," 4.1
 out of
 5
",," There really is a lot to like about this tv... About the only thing I do not love is the new style remote.... It is very light weight to the hand... Still too new to know all the in &amp; outs of this model...but it has everything you can get on a tv but 4K. Useful USB port too... You can flash drive music,movies and photos with this port....no one broadcasts or makes much input for us to use 4 K on anyway....yet...found the guide for over the air broadcast, on this tv to be of little use.but the TV GUIDE app has everything...It is on the I pad...VIZIO also has apps....  I have figured out how to cast the I pad and I phone to the big screen on you tube, and that is very very handy...<br> This tv found the router in just a minute...and after you set your zip code and time zone bingo your watching on the Internet or live streaming broadcast, or if your hooked up cable tv... Seems the blue ray picture is supposed to be the best but I am very pleased with over air HDTV and the antenna...<br> I have a VIZIO sound bar but it does NOT fit between the set's legs.... It must have room in front of them, or under them even better... But together these two units will blow you away...yet keep you in budget really<br> This is an up grade from a VIZIO 37 inch from a few years back...another great tv...<br>But this one is almost huge in the room...remember there bigger when you get them home....",There really is a lot to like about this tv... About the only thing I do not love is the new styl...,,,Jb,,HD
Samsung,"Model # UN40J6200AF
Internet #206279766",40 in. Class LED 1080p 60Hz Smart HDTV with Built-In Wi-Fi and 120 CMR,http://www.homedepot.com/p/Samsung-40-in-Class-LED-1080p-60Hz-Smart-HDTV-with-Built-In-Wi-Fi-and-120-CMR-UN40J6200AF/206279766,$449.99,"September 21, 2016"," 4.7
 out of
 5
",,I love this new really Smart TV. All Apps right up front.,Really Smart,,,babycheeks78218,,HD
Samsung,"Model # UN40J6200AF
Internet #206279766",40 in. Class LED 1080p 60Hz Smart HDTV with Built-In Wi-Fi and 120 CMR,http://www.homedepot.com/p/Samsung-40-in-Class-LED-1080p-60Hz-Smart-HDTV-with-Built-In-Wi-Fi-and-120-CMR-UN40J6200AF/206279766,$449.99,"February 20, 2017"," 4.7
 out of
 5
",,"I am totally blown away by the picture quality. Replaced a 10 year Sharp Aquos 46"" LCD. It looks as though you can actually see real depth behind and around people and objects. The WIFI is very intuitive. Found the router without hesitation and synced immediately with it. No lag when streaming from internet. Picture was great out of the box. Was able to adjust sound for the TV speakers to sound pretty decent. Plays well with HULU and NETFLIX. Internet browser can be a little slow taking input. The only negative I have encountered is not being able to use a wireless mouse and keyboard with it.",Best Picture Ever,,,gcowansr,,HD
Samsung,"Model # UN40J6200AF
Internet #206279766",40 in. Class LED 1080p 60Hz Smart HDTV with Built-In Wi-Fi and 120 CMR,http://www.homedepot.com/p/Samsung-40-in-Class-LED-1080p-60Hz-Smart-HDTV-with-Built-In-Wi-Fi-and-120-CMR-UN40J6200AF/206279766,$449.99,"February 23, 2017"," 4.7
 out of
 5
",,"great picture ,great sound for the price. Great for the price",clean Picture,,,ciscom,,HD
Samsung,"Model # UN40J6200AF
Internet #206279766",40 in. Class LED 1080p 60Hz Smart HDTV with Built-In Wi-Fi and 120 CMR,http://www.homedepot.com/p/Samsung-40-in-Class-LED-1080p-60Hz-Smart-HDTV-with-Built-In-Wi-Fi-and-120-CMR-UN40J6200AF/206279766,$449.99,"February 21, 2017"," 4.7
 out of
 5
",,"Very nice tv with good color, however when purchased there was no tv stand in the box but other than that it's great",Awesome tv,,,Davidsonusn,,HD
Samsung,"Model # UN40J6200AF
Internet #206279766",40 in. Class LED 1080p 60Hz Smart HDTV with Built-In Wi-Fi and 120 CMR,http://www.homedepot.com/p/Samsung-40-in-Class-LED-1080p-60Hz-Smart-HDTV-with-Built-In-Wi-Fi-and-120-CMR-UN40J6200AF/206279766,$449.99,"January 3, 2017"," 4.7
 out of
 5
",,"Well owned a J6200 from a year ago and decided to buy 3 more J6200 to finish a plan and 2 of the 3 had bad LCD screens. Send both back and where I bought them they sent 2 65 inch J6200's in place of the 2 bad 60 inch TV's. Of course I had to pay for them. The 1st 65 inch came in and wouldn't power up so had to replace that one. So finally after 6 TV's, 2 bad LCD's and 1 that didn't power up I finally got my 3 TV's after allot of hassle, time and aggravation.. Also talked to a Samsung repair guy for this area that works for a company that services Samsung TV's for Samsung and he said we have allot a problems with LCD's on the J6200 models...",Holdingurbreath,,,Holdurbreath,,HD
Samsung,"Model # UN40J6200AF
Internet #206279766",40 in. Class LED 1080p 60Hz Smart HDTV with Built-In Wi-Fi and 120 CMR,http://www.homedepot.com/p/Samsung-40-in-Class-LED-1080p-60Hz-Smart-HDTV-with-Built-In-Wi-Fi-and-120-CMR-UN40J6200AF/206279766,$449.99,"February 4, 2017"," 4.7
 out of
 5
",,I really miss the plasma TV's. This is a good LED TV. There are smart features it does not have the my 65 inch Samsung Plasma upstairs has. I wish it had Bluetooth capabilities to use with Samsung sound bar. The biggest complaint with the TV are the HDMI ports. It only has two!! This day and age where everything wired hooks up with HDMI it should have a minimum of 4.,Good for an LED,,,Bears66,,HD
Samsung,"Model # UN40J6200AF
Internet #206279766",40 in. Class LED 1080p 60Hz Smart HDTV with Built-In Wi-Fi and 120 CMR,http://www.homedepot.com/p/Samsung-40-in-Class-LED-1080p-60Hz-Smart-HDTV-with-Built-In-Wi-Fi-and-120-CMR-UN40J6200AF/206279766,$449.99,"February 20, 2017"," 4.7
 out of
 5
",,"I purchased the 40"" Samsung 6200 LED TV to replace an outdated tube television in the bedroom. Wow! Beautiful picture right out of the box, sound is solid and easily heard, picture is crisp with no motion blurring. Only complaint is that it only has 2 HDMI inputs, could use 1 more (in my opinion), but for the price this is a no-brainer!",Perfect bedroom TV,,,PPD52,,HD
Samsung,"Model # UN40J6200AF
Internet #206279766",40 in. Class LED 1080p 60Hz Smart HDTV with Built-In Wi-Fi and 120 CMR,http://www.homedepot.com/p/Samsung-40-in-Class-LED-1080p-60Hz-Smart-HDTV-with-Built-In-Wi-Fi-and-120-CMR-UN40J6200AF/206279766,$449.99,"February 6, 2017"," 4.7
 out of
 5
",,"VERY GOOD TV FOR THE PRICE, PICTURES IS EXCELLENT....",TOP QUALITY,,,SHAMROCKS81,,HD
#N/A,B00UB9UJBA,TCL 32S3800 32-Inch 720p Roku Smart LED TV (2015 Model),https://www.amazon.com/TCL-32S3800-32-Inch-Smart-Model/dp/B00UB9UJBA/ref=sr_1_1?s=tv&ie=UTF8&qid=1488526957&sr=1-1&keywords=TV,$169.99,,,,,,,,,,
